Tracker_Site,SF_Id,SF_Name,SF_Owner,SF_Stage,Current_Proj_Close,Proposed_Proj_Close,PC_Change,Current_Next_Action,Proposed_Next_Action,Current_Next_Action_Date,Proposed_Next_Action_Date,Note_Topic,Ambiguous_Note
Mesa_MDU_Westmount at Urban Trails,006WR00000wkC7WYAU,Westmount at Urban Trails,Bill Holick,Prospecting,2026-05-01,2026-06-15,YES,,Push PAL signature before Walker's paternity leave (early May); Kyle reaching out to backup,,2026-05-08,Westmount at Urban Trails — 4/29 call,
Mesa_MDU_Amberwood Manor,006WR00000wkA7aYAE,Amberwood Manor,Bill Holick,Prospecting,2026-06-01,2026-06-01,,,"On HOA agenda for May; asked to be part of meeting, awaiting response",,,Amberwood Manor — 4/29 call,
Mesa_MDU_Bridgewood Townhomes,006WR00000wkCk8YAE,Bridgewood Townhomes,Bill Holick,Prospecting,2026-06-01,2026-06-01,,,"On HOA agenda for May; asked to be part of meeting, awaiting response",,,Bridgewood Townhomes — 4/29 call,
Omaha_MDU_4813-4823 Boyd St Apartments,006WR00000wkA8mYAE,4813-4823 Boyd St Apartments,Bill Holick,Prospecting,2026-06-01,2026-06-30,YES,,Calling Dr. Kumar — hard to reach but willing to sign once contacted,,,4813-4823 Boyd St — 4/29 call,
Omaha_MDU_Boyd Street Apartments,006WR00000wkA8zYAE,6314 Boyd Street,Bill Holick,Prospecting,2026-06-01,2026-07-01,YES,,Calling Dr. Kumar — hard to reach but willing to sign once contacted,,,Boyd St Apartments — 4/29 call,"Tracker says ""Boyd Street Apartments 26 units"" — possible matches: 6314 Boyd Street (Bill, Prospecting, pc=2026-06-01), 6302 Boyd Street (Cass, Prospects). Verify which one."
Omaha_MDU_Howard Street Apartments,006WR00000wkA6dYAE,Howard Street,Bill Holick,Prospects,,2026-07-01,YES,,Kelly wants meeting this week; Melissa to set up face-to-face (Kelly owns both Howard + Terrace Garden),,2026-05-02,Howard Street — 4/29 call,
Omaha_MDU_Terrace Garden Townhomes,006WR00000wkA7oYAE,Terrace Garden Apartments,Bill Holick,Prospects,,2026-07-02,YES,,Kelly wants meeting this week; Melissa to set up face-to-face (Kelly owns both Howard + Terrace Garden),,2026-05-02,Terrace Garden — 4/29 call,
Killeen_MDU_Liberty Manor,AMBIGUOUS (2 matches),,,,,2026-06-01,YES,,Melissa to follow up — went radio silent after good initial call; SITAC + Bill calls unanswered,,,Liberty Manor — 4/29 call,
Killeen_MDU_Williamsburg Townhouses and Apts,006WR00000wkC7zYAE,Williamsburg Townhomes and Apartments,Bill Holick,Prospecting,2026-06-01,2026-06-01,,,Good text exchange showing interest; PAL under proposal review,,,Williamsburg — 4/29 call,
Bedford Square [fmr Maplewood Court],006WR00000wkA6fYAE,Bedford Square [fmr Maplewood Court],Bill Holick,Contract Negotiations,,2026-06-02,YES,,Belinda interested; Taylor sent PAL 4/28 before going on break — owner reviewing,,,Bedford Square — 4/29 call,
Taylor_MDU_Gardens of Taylor,006WR00000wkCjMYAU,Gardens of Taylor,Bill Holick,Prospects,,2026-06-03,YES,,Melissa to send PAL request to Caitlin (Taylor on break) cc Brett today; legal description received,,2026-04-30,Gardens of Taylor — 4/29 call,
Mineral Wells_MDU_Parkwood Apartments,006WR00000wkA95YAE,Parkwood Apartments,Bill Holick,Prospecting,2026-06-01,2026-06-01,,,Still under discussion with owner,,,Parkwood Apts (Mineral Wells) — 4/29 call,
Bridgeport_MDU_Creekside Apartments,006WR00000wkEcAYAU,Creekside Apartments,Melissa Baker,EMA/Bulk In Progress,2026-06-27,2026-05-15,YES,Need PAL addendum and Bulk Agreement [Placeholder forecast - update with real estimate],Melissa to call — chasing PAL addendum (already have bulk agreement),2026-04-28,,Creekside Apts — 4/29 call,
Killeen_MDU_Patriot Place,006WR00000wkEbOYAU,Patriot Place,Melissa Baker,EMA/Bulk In Progress,2026-05-28,2026-05-30,YES,Need Marketing decision to build to unit or to NID [Placeholder forecast - update with real estimate],Melissa to solidify bulk vs EMA decision by end of 4/30; owner ready to send EMA contracts,2026-04-28,2026-04-30,Patriot Place — 4/29 call,
Newark_MDU_Heritage of Newark (Newark Beach Estates),006WR00000wkEcBYAU,Heritage of Newark (FKA Newark Beach Estates),Melissa Baker,EMA/Bulk In Progress,2026-06-27,2026-05-30,YES,Need Bulk [Placeholder forecast - update with real estimate],Going bulk; bulk language change needed — wait for Taylor back Monday 5/4,2026-04-28,2026-05-04,Heritage of Newark — 4/29 call,
Omaha_MDU_1001 Apartments,006WR00000wkEcDYAU,The 1001 Apartments,Melissa Baker,EMA/Bulk In Progress,2026-05-28,2026-05-30,YES,PAL addedndum and Marketing [Placeholder forecast - update with real estimate],Owner Bob sitting on decision; Melissa to reach out again,2026-04-28,,1001 Apts — 4/29 call,
Omaha_MDU_Bristol Square Apts,006WR00000wkEc8YAE,Bristol Square Apartments,Melissa Baker,EMA/Bulk In Progress,2026-06-27,2026-05-30,YES,PAL addedndum and Marketing [Placeholder forecast - update with real estimate],Melissa to schedule mtg w/ Brett + Niraj; equipment-in-closet/no-power confusion to resolve in person,2026-04-28,,Bristol Square (184u) — 4/29 call,
Omaha_MDU_Northampton Court Condos,006WR00000wkEcEYAU,Northampton Court Condominiums,Brett Spivey,EMA/Bulk In Progress,2026-03-13,2026-05-15,YES,PAL addendum and Marketing,PAL signed; verbal on bulk by end of week — Melissa to follow up today,2026-04-28,2026-04-30,Northampton Courts — 4/29 call,
Killeen_MDU_The Bungalows,006WR00000xwHL3YAM,Killeen_MDU_The Bungalows,Melissa Baker,PAL/ROE Complete,,2026-05-30,YES,,On hold — owner Lisa Jean unreachable + doing construction; awaiting NID placement decision,,,The Bungalows — 4/29 call,
Jarrell_MDU_Sonterra Apartment Homes,006WR00000wkEcpYAE,Sonterra Apartment Homes,Brett Spivey,EMA/Bulk In Progress,2026-04-30,2026-04-30,,,EMA out for signature; owner Manny + daughters agreed; 48hr review — Melissa to follow up today,,2026-04-30,Sonterra Apts — 4/29 call,
Encinitas_MDU_Sandpiper Point,006WR00000wk9SsYAI,Sandpiper Pointe,Jeff Chao,Prospecting,,2026-06-15,YES,,"Decision: send ROE today (not PAL); HOA willing EMA, not bulk (50% only); SFU homes",,2026-04-30,Sandpiper Pointe — 4/29 call,
Solana Beach_MDU_Seascape Sur,006WR00000wk9SnYAI,Seascape Sur,Pankaj Gulati,Contract Negotiations,2026-05-30,2026-05-30,,,Pankaj working w/ Pam Walker on PAL questions; PAL expected 45-60d; bulk needed for feasibility,,,Seascape Sur — 4/29 call,
Solana Beach_MDU_Santa Helena Park Condominiums,006WR00000wkA8kYAE,Santa Helena Park Condominiums,Pankaj Gulati,Engaged,2026-05-15,2026-05-15,,,Pankaj working with telecom consultant questions; PAL revisions sent,,,Santa Helena — 4/29 call,
