SF_Id,Name,Field,Before,After,Bucket,Source,Timestamp,Action
006WR0000112vHHYAY,San Ito,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site exists. Served at area/FDH grain (Vetro: Encinitas FDH38, serviceable). SoCal SFU builds are tracked per-FDH on Lit_Fiber in the SiteTracker org, not per-Opp - expected here, not a build gap. Verify against Encinitas FDH38 if needed.",ca-area-grain,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:19.382882,update
006WR00000ywT5VYAU,Village Park Shady Tree #2,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site exists. Served at area/FDH grain (Vetro: Encinitas FDH23, serviceable). SoCal SFU builds are tracked per-FDH on Lit_Fiber in the SiteTracker org, not per-Opp - expected here, not a build gap. Verify against Encinitas FDH23 if needed.",ca-area-grain,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:19.783331,update
006WR000012OtcpYAC,Omaha_MDU_5511 N 30th St,Description,,[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site and no Vetro as-built match found. Confirm whether built - may be a genuine ST project gap.,no-vetro,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:20.403269,update
006WR000012OwFmYAK,Omaha_MDU_6301 Military Ave,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site. Vetro shows fiber service in Omaha FDH23 (serviceable), but this market normally tracks each built property as its own ST project - confirm whether an ST project exists under a different name, or if this is a genuine gap.",nonca-serviceable-verify,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:20.807637,update
006WR000012Q3a5YAC,Omaha_MDU_5511 N 30th St (additional units),Description,,[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site and no Vetro as-built match found. Confirm whether built - may be a genuine ST project gap.,no-vetro,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:21.188838,update
006WR000012P0nzYAC,Omaha_MDU_4038 Hamilton St,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site. Vetro shows fiber service in Omaha FDH36 (serviceable), but this market normally tracks each built property as its own ST project - confirm whether an ST project exists under a different name, or if this is a genuine gap.",nonca-serviceable-verify,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:21.473195,update
006WR000012OLJOYA4,Omaha_MDU_6506 Boyd,Description,,[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site and no Vetro as-built match found. Confirm whether built - may be a genuine ST project gap.,no-vetro,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:21.934068,update
006WR000012QQgLYAW,Omaha_MDU_5511 N 30th St (3rd),Description,,[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site and no Vetro as-built match found. Confirm whether built - may be a genuine ST project gap.,no-vetro,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:22.273561,update
006WR000012PbluYAC,Omaha_MDU_8021 Maple Street,Description,,[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site and no Vetro as-built match found. Confirm whether built - may be a genuine ST project gap.,no-vetro,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:22.649280,update
006WR00000ytrE5YAI,Trailer Rancho Mobile,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site exists. Served at area/FDH grain (Vetro: Encinitas FDH12, serviceable). SoCal SFU builds are tracked per-FDH on Lit_Fiber in the SiteTracker org, not per-Opp - expected here, not a build gap. Verify against Encinitas FDH12 if needed.",ca-area-grain,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:22.959121,update
006WR00000wk9RyYAI,Rivers Edge,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site. Vetro shows fiber service in Georgetown FDH05 (serviceable), but this market normally tracks each built property as its own ST project - confirm whether an ST project exists under a different name, or if this is a genuine gap.",nonca-serviceable-verify,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:23.344479,update
